price,address,bds,ba,sqft,image
"$1,185,000","500 4th Ave APT 3M, Brooklyn, NY 11215",2,2,"1,045","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$844,000","18 Bishop St, Staten Island, NY 10306",4,2,"2,564","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$540,000","4711 Avenue H, Brooklyn, NY 11234",2,2,810,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,199,000","515 E 28th St, Brooklyn, NY 11210",4,3,"3,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$779,000","1277 E 222nd St, Bronx, NY 10469",6,4,"2,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$715,000","14954 Huron St, Jamaica, NY 11417",4,3,"1,248","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$489,900","19021 109th Rd, Jamaica, NY 11412",4,2,"1,287",N/A
"$829,000","160-10 84th St, Howard Beach, NY 11414",5,3,"2,400",N/A
"$550,000","2206 Regina Ave, Far Rockaway, NY 11691",4,5,"1,800","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,999,000","74 E 7th St, Brooklyn, NY 11218",5,3,"2,400","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,600,000","14528 34th Ave, Flushing, NY 11354",2,3,"2,995",N/A
"$1,999,950","637 Macon St, Brooklyn, NY 11233",7,3,"3,450","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$699,999","455 Main St APT 10P, New York, NY 10044",--,1,529,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$234,000","9524 Fort Hamilton Pkwy APT 403, Brooklyn, NY 11209",1,1,650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$698,000","143 Darlington Ave, Staten Island, NY 10312",4,2,"2,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,488,000","19814 Epsom Crse, Jamaica, NY 11423",4,4,"3,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,250,000","2925 160th St, Flushing, NY 11358",5,3,"2,150","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$905,000","60 Vineland Ave, Staten Island, NY 10312",4,3,"2,144","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$930,000","821 Woodrow Rd, Staten Island, NY 10312",4,3,"2,190","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$829,999","1935 Muliner Ave, Bronx, NY 10462",5,3,"2,786","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$287,000","128-11 Newport Avenue #2C, Belle Harbor, NY 11694",1,1,900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$359,900","4525 Henry Hudson Pkwy #808, Bronx, NY 10471",2,1,"1,100","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$550,000","8375 117th St APT 6A, Jamaica, NY 11418",2,2,950,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$735,000","9003 Albert Rd, Jamaica, NY 11417",4,3,"1,960","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$485,000","70B Dinsmore St #B, Staten Island, NY 10314",3,2,"1,889","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$625,000","3240 Bruner Ave, Bronx, NY 10469",5,2,"2,104",https://photos.zillowstatic.com/fp/12ec34d227e5d5aa0a5bc11174b91f67-p_e.jpg
"$389,600","144 Beach 121 St #1R, Rockaway Park, NY 11694",2,1,940,https://photos.zillowstatic.com/fp/d71475f04e6d654ac3f9e1bdab30eb75-p_e.jpg
"$780,000","71-01 Penelope Ave, Middle Village, NY 11379",3,2,"1,530",https://photos.zillowstatic.com/fp/377e62568938f76c0361b92bd6bc8770-p_e.jpg
"$639,000","2711 Morgan Ave, Bronx, NY 10469",5,3,"2,328",https://photos.zillowstatic.com/fp/d1665a304550f7b26c0ab1b7689eedde-p_e.jpg
"$589,000","727 E 218th St, Bronx, NY 10467",5,3,"2,196",https://photos.zillowstatic.com/fp/85e1703997f3431e441541987d28f1f4-p_e.jpg
"$689,000","6070 Woodhaven Blvd APT 6B, Flushing, NY 11373",3,2,991,https://photos.zillowstatic.com/fp/0ec4cb64c5260c8b8aefc4a8e4261838-p_e.jpg
